Verbo(nselect:0) 	 	 {record, register}(nselect:4)
{get, acquire}(nselect:0) 	 	 {obtain}(nselect:3)
{obtain}(nselect:3) 	 	 {carry}(nselect:0)
{obtain}(nselect:3) 	 	 {excavate, dig up, turn up}(nselect:0)
{obtain}(nselect:3) 	 	 {extort, wring from}(nselect:0)
{obtain}(nselect:3) 	 	 {kite}(nselect:0)
{obtain}(nselect:3) 	 	 {source}(nselect:0)
{obtain}(nselect:3) 	 	 {procure, secure}(nselect:0)
{obtain}(nselect:3) 	 	 {extract}(nselect:0)
{obtain}(nselect:3) 	 	 {take out}(nselect:0)
{obtain}(nselect:3) 	 	 {get in, get into}(nselect:0)
{obtain}(nselect:3) 	 	 {eke out, squeeze out}(nselect:0)
{obtain}(nselect:3) 	 	 {mooch, bum, cadge, grub, sponge}(nselect:0)
{obtain}(nselect:3) 	 	 {derive, gain}(nselect:0)
{obtain}(nselect:3) 	 	 {shop}(nselect:0)
{obtain}(nselect:3) 	 	 {snag}(nselect:0)
{obtain}(nselect:3) 	 	 {grab}(nselect:0)
Verbo(nselect:0) 	 	 {work, do work}(nselect:0)
{work, do work}(nselect:0) 	 	 {serve}(nselect:0)
{work, do work}(nselect:0) 	 	 {bank}(nselect:0)
{work, do work}(nselect:0) 	 	 {drive}(nselect:0)
{work, do work}(nselect:0) 	 	 {tinker}(nselect:0)
{work, do work}(nselect:0) 	 	 {serve}(nselect:0)
{work, do work}(nselect:0) 	 	 {fink, scab, rat, blackleg}(nselect:0)
{work, do work}(nselect:0) 	 	 {labor, labour, toil, fag, travail, grind, drudge, dig, moil}(nselect:0)
{work, do work}(nselect:0) 	 	 {farm}(nselect:0)
{work, do work}(nselect:0) 	 	 {moonlight}(nselect:0)
{work, do work}(nselect:0) 	 	 {job}(nselect:0)
{work, do work}(nselect:0) 	 	 {man}(nselect:0)
{work, do work}(nselect:0) 	 	 {slave, break one's back, buckle down, knuckle down}(nselect:0)
{work, do work}(nselect:0) 	 	 {subcontract}(nselect:0)
{work, do work}(nselect:0) 	 	 {turn a trick}(nselect:0)
{work, do work}(nselect:0) 	 	 {freelance}(nselect:0)
{work, do work}(nselect:0) 	 	 {fill, take, occupy}(nselect:1)
Verbo(nselect:0) 	 	 {determine, find, find out, ascertain}(nselect:0)
{determine, find, find out, ascertain}(nselect:0) 	 	 {count, number, enumerate, numerate}(nselect:0)
{count, number, enumerate, numerate}(nselect:0) 	 	 {recount}(nselect:0)
{count, number, enumerate, numerate}(nselect:0) 	 	 {miscount}(nselect:0)
{count, number, enumerate, numerate}(nselect:0) 	 	 {census}(nselect:0)
{count, number, enumerate, numerate}(nselect:0) 	 	 {total, tot, tot up, sum, sum up, summate, tote up, add, add together, tally, add up}(nselect:6)
Verbo(nselect:0) 	 	 {move, displace}(nselect:0)
{move, displace}(nselect:0) 	 	 {push, force}(nselect:0)
{push, force}(nselect:0) 	 	 {thrust}(nselect:0)
{thrust}(nselect:0) 	 	 {jab, prod, stab, poke, dig}(nselect:0)
{thrust}(nselect:0) 	 	 {stab, jab}(nselect:0)
{thrust}(nselect:0) 	 	 {shoulder}(nselect:0)
{thrust}(nselect:0) 	 	 {boost}(nselect:0)
{thrust}(nselect:0) 	 	 {ram, ram down, pound}(nselect:0)
{thrust}(nselect:0) 	 	 {punch}(nselect:0)
{thrust}(nselect:0) 	 	 {dig}(nselect:0)
{thrust}(nselect:0) 	 	 {force, drive, ram}(nselect:5)
{force, drive, ram}(nselect:5) 	 	 {toe, toenail}(nselect:0)
Verbo(nselect:0) 	 	 {change, alter, modify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {awaken, wake, waken, rouse, wake up, arouse}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {cause to sleep}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {affect}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {refresh, freshen, refreshen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {inseminate, fecundate, fertilize, fertilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {indispose}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {cry}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {etiolate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shade}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {brutalize, brutalise, animalize, animalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {convert}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {opalize, opalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {arterialize, arterialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {make, get}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {counterchange, transpose, interchange}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {vascularize, vascularise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decrepitate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {suburbanize, suburbanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {revolutionize, revolutionise, overturn}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {etiolate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {barbarize, barbarise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {alkalinize, alkalinise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mythologize, mythologise, mythicize, mythicise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {allegorize, allegorise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {demythologize, demythologise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {bring, land}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {coarsen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {affect, impact, bear upon, bear on, touch on, touch}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {alchemize, alchemise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {alcoholize, alcoholise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shape, form}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {round off, round down, round out, round}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {suspend}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sober}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {reconstruct}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {ease up, ease off, let up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {assimilate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dissimilate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {commute, convert, exchange}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {vitalize, vitalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {unclutter, clear}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {activate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {activate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {activate, aerate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {activate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {inactivate, deactivate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deaden, blunt}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {remodel, reconstruct, redo}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {edit, redact}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {edit, cut, edit out}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {tame, chasten, subdue}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {chasten, moderate, temper}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {better, improve, amend, ameliorate, meliorate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {worsen, aggravate, exacerbate, exasperate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {wet}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dry, dry out}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {lubricate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {strengthen, beef up, fortify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {spike, lace, fortify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {weaken}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {blunt}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {oxidize, oxidise, oxidate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {unite, unify, merge}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {age}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {ripen, mature}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {antique, antiquate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {antiquate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {develop, make grow}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {soften}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {damage}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {ossify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {acerbate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {stabilize, stabilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {destabilize, destabilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sensitize, sensitise, sensify, sensibilize, sensibilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {desensitize, desensitise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {habituate, accustom}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {disorder, disarray}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {discolor}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {color, colorize, colorise, colourise, colourize, colour, color in, colour in}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {stain}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {hue}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {uglify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {untune}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {adjust, set, correct}(nselect:1)
{adjust, set, correct}(nselect:1) 	 	 {proportion}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {modulate}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {temper}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {tune, tune up}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {calibrate, graduate, fine-tune}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {tune, tune up}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {time}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {trim}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {zero, zero in}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {zero}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {readjust, reset}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {attune}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {time}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {set}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {regulate, modulate}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {focus, focalize, focalise, sharpen}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {synchronize, synchronise, sync}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {pressurize, pressurise}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {depressurize, depressurise, decompress}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {match, fit}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {plumb}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {align, ordinate, coordinate}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {harmonize, harmonise, reconcile}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {linearize, linearise}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {justify}(nselect:0)
{adjust, set, correct}(nselect:1) 	 	 {citify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {set}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {disqualify, unfit, indispose}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {domesticate, domesticize, domesticise, reclaim, tame}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {widen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dehydrogenate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {hydrogenate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {oxygenize, oxygenise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {darken}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {brighten, lighten up, lighten}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {blur, blear}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {obscure, bedim, overcloud}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {obscure, blot out, obliterate, veil, hide}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {cook}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {slenderize, slenderise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {crack}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dissolve, dismiss}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {end, terminate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {demist, defog}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {condense, concentrate, contract}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {cool, chill, cool down}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {heat, heat up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {warm}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {boil}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {freeze}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {blister}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {switch, change over, shift}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transpose}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {convert, change over}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transmute}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform, transmute, transubstantiate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {ash}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {translate, transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {reform, reclaim, regenerate, rectify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {convert}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Islamize, Islamise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {turn back, invert, reverse}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {invert}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {customize, customise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {personalize, personalise, individualize, individualise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {depersonalize, depersonalise, objectify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sharpen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {flatten, drop}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {disintegrate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {magnetize, magnetise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {demagnetize, demagnetise, degauss}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {simplify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {complicate, refine, rarify, elaborate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {refine}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {complicate, perplex}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {supercharge, pressurize, pressurise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {centralize, centralise, concentrate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decentralize, deconcentrate, decentralise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {socialize, socialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {fix, prepare, set up, ready, gear up, set}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {internationalize, internationalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {communize, communise, bolshevize, bolshevise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Europeanize, Europeanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Europeanize, Europeanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {bestialize, bestialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Americanize, Americanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {Frenchify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {civilize, civilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {nationalize, nationalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denationalize, denationalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {naturalize, naturalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denaturalize, denaturalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {naturalize, naturalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denaturalize, denaturalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {even, even out}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {equal, match, equalize, equalise, equate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {stiffen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {loosen, loose}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {tighten, fasten}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transitivize, transitivise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {detransitivize, detransitivise, intransitivize, intransitivise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {thicken, inspissate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {full}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {diversify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decelerate, slow down}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deaden}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {accelerate, speed, speed up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {check, retard, delay}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decrease, lessen, minify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {liquefy, liquify, liquidize, liquidise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {solvate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dissolve}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {validate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {invalidate, void, vitiate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {empty}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {fill, fill up, make full}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {saturate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {clot, coagulate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {louden}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {normalize, normalise, renormalize, renormalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {morph}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {neutralize, neutralise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {commercialize, commercialise, market}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {purify, purge, sanctify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mechanize, mechanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {automatize, automatise, automate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {automatize, automatise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mechanize, mechanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {harmonize, harmonise, chord}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {polarize, polarise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {glorify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {contaminate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {devalue}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {insulate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {calcify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {urbanize, urbanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {urbanize, urbanise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {emulsify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {demulsify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decarboxylate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {nazify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {fertilize, fecundate, fertilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {clarify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {embrittle}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {mark}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {nick}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {disable, disenable, incapacitate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {enable}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {de-emphasize, de-emphasise, destress}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {tender, tenderize, tenderise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {charge}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {bubble}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sweeten}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {iodinate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {ionate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {archaize, archaise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {inform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {officialize, officialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {occidentalize, occidentalise, westernize, westernise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {orientalize, orientalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {acetylate, acetylize, acetylise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {achromatize, achromatise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {parallel, collimate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {camp}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {classicize, classicise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {conventionalize, conventionalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {decimalize, decimalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dizzy}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {poison, envenom}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {exteriorize, exteriorise, externalize, externalise, objectify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {glamorize, glamourise, glamourize, glamorise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {introvert}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {laicize, laicise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {politicize, politicise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {radicalize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {proof}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {romanticize, romanticise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {rusticate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sauce}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shallow, shoal}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {tense}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {steepen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {scramble}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {unscramble}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {unsex}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {vitrify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {pall}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {saponify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {extend, expand}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {suspend, set aside}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {muddy}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {transform}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {lift, raise, elevate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {harshen}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dinge}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {demonize, demonise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {devilize, devilise, diabolize, diabolise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {etherealize, etherialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {immaterialize, immaterialise, unsubstantialize, unsubstantialise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {animize, animise, animate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {clear}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dynamize, dynamise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dynamize, dynamise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {rarefy, sublimate, subtilize}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {volatilize, volatilise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {uniformize, uniformise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {symmetrize, symmetrise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {immortalize, immortalise, eternize, eternise, eternalize, eternalise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denature}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denature}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {denature}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sanitize, sanitise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {verbify}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shift}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {sputter}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {draw}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {make}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {dope}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {prostrate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {excite}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {excite, energize, energise}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shake}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {outmode}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {spice, spice up}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {shorten}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {think}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {make}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {deflate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {inflate}(nselect:0)
{change, alter, modify}(nselect:0) 	 	 {reflate}(nselect:0)
